SampleNumber MagX MagY MagZ AccX AccY AccZ GyroX GyroY GyroZ
1 -13.27 -8.18 -101.22 -0.43 -0.86 10.79 3.26 2.73 -2.24
2 -13.27 -8.18 -101.22 -0.43 -0.86 10.79 -4.14 -2.53 2.47
3 -13.00 -8.55 -101.12 -0.43 -0.90 10.83 -4.14 -2.53 0.95
4 -13.00 -8.55 -101.12 -0.43 -0.78 10.71 -1.42 0.37 0.95
5 -13.00 -8.55 -101.12 -0.43 -0.90 10.67 -1.35 0.46 1.60
6 -13.00 -8.55 -101.12 -0.43 -0.90 10.71 -0.30 0.43 1.01
7 -13.00 -8.55 -101.12 -0.47 -0.86 10.67 0.10 -0.02 0.29
8 -13.00 -8.55 -101.12 -0.47 -0.94 10.71 0.03 0.03 0.33
9 -13.00 -8.55 -101.12 -0.51 -0.94 10.75 0.02 0.04 -0.21
10 -13.00 -8.55 -101.12 -0.47 -0.94 10.67 0.02 0.04 0.02
11 -13.00 -8.55 -101.12 -0.47 -0.94 10.63 0.02 0.04 0.05
12 -13.00 -8.55 -101.12 -0.51 -0.82 10.59 0.02 0.03 0.05
13 -13.00 -8.55 -101.12 -0.63 -0.86 10.75 -0.02 0.02 0.05
14 -13.00 -8.55 -101.12 -0.59 -0.71 10.83 -0.06 0.02 0.05
15 -13.00 -8.55 -101.12 -0.55 -0.78 10.71 -0.05 0.02 0.05
16 -13.45 -8.82 -101.02 -0.51 -0.55 10.75 -0.04 0.02 0.06
17 -13.45 -8.82 -101.02 -0.55 -0.71 10.63 -0.02 0.03 0.05
18 -13.45 -8.82 -101.02 -0.47 -0.82 10.67 -0.01 0.04 0.02
19 -13.45 -8.82 -101.02 -0.55 -0.78 10.75 0.01 0.04 0.02
20 -13.45 -8.82 -101.02 -0.43 -0.82 10.67 0.03 0.04 0.01
21 -13.45 -8.82 -101.02 -0.55 -0.86 10.63 0.06 0.04 0.01
22 -13.45 -8.82 -101.02 -0.55 -0.86 10.59 0.09 0.04 0.03
23 -12.91 -8.82 -101.12 -0.59 -0.94 10.71 0.08 0.04 0.04
24 -12.91 -8.82 -101.12 -0.51 -0.82 10.63 0.08 0.04 0.04
25 -12.91 -8.82 -101.12 -0.47 -0.82 10.71 0.08 0.04 0.04
26 -12.91 -8.82 -101.12 -0.51 -0.75 10.67 0.07 0.03 0.03
27 -12.91 -8.82 -101.12 -0.47 -0.78 10.71 0.07 0.03 0.03
28 -12.91 -8.82 -101.12 -0.47 -0.78 10.63 0.06 0.03 0.02
29 -13.09 -9.00 -101.22 -0.47 -0.71 10.75 0.04 0.03 0.02
30 -13.09 -9.00 -101.22 -0.51 -0.78 10.90 0.05 0.03 0.02
31 -13.09 -9.00 -101.22 -0.43 -0.82 10.94 0.06 0.03 0.02
32 -13.09 -9.00 -101.22 -0.43 -0.82 10.98 0.02 0.04 0.02
33 -13.09 -9.00 -101.22 -0.55 -0.82 10.98 0.01 0.04 0.01
34 -13.09 -9.00 -101.22 -0.59 -0.78 10.63 0.03 0.04 0.03
35 -13.09 -9.00 -101.22 -0.63 -0.78 10.79 0.05 0.04 0.04
36 -13.00 -8.91 -101.12 -0.63 -0.71 10.55 0.05 0.04 0.04
