SampleNumber MagX MagY MagZ AccX AccY AccZ GyroX GyroY GyroZ
1 15.27 8.45 -99.69 -0.20 -0.47 10.67 1.01 2.91 -3.78
2 15.27 8.45 -99.69 -0.20 -0.47 10.71 1.01 2.91 4.30
3 15.27 8.45 -99.69 -0.27 -0.43 10.55 -1.42 -2.61 4.30
4 15.27 8.45 -99.69 -0.27 -0.47 10.67 -1.90 0.41 0.85
5 15.27 8.45 -99.69 -0.24 -0.47 10.63 -0.20 0.07 0.98
6 15.27 8.45 -99.69 -0.27 -0.43 10.63 0.02 0.34 1.57
7 15.36 8.45 -99.39 -0.27 -0.47 10.63 0.02 0.02 -0.30
8 15.36 8.45 -99.39 -0.31 -0.43 10.59 -0.13 0.06 -0.06
9 15.36 8.45 -99.39 -0.27 -0.47 10.67 -0.01 0.03 0.18
10 15.36 8.45 -99.39 -0.24 -0.43 10.67 -0.01 0.03 0.18
11 15.36 8.45 -99.39 -0.24 -0.47 10.75 -0.00 0.02 0.00
12 15.36 8.45 -99.39 -0.24 -0.47 10.59 -0.03 0.02 0.02
13 15.36 8.45 -99.39 -0.24 -0.43 10.51 -0.02 0.02 0.04
14 15.18 8.91 -99.39 -0.31 -0.47 10.63 -0.02 0.03 0.02
15 15.18 8.91 -99.39 -0.20 -0.47 10.63 -0.03 0.04 0.02
16 15.18 8.91 -99.39 -0.27 -0.43 10.55 -0.02 0.03 0.04
17 15.18 8.91 -99.39 -0.27 -0.51 10.55 -0.02 0.02 0.04
18 15.18 8.91 -99.39 -0.31 -0.39 10.51 -0.02 0.02 0.04
19 15.18 8.91 -99.39 -0.27 -0.47 10.59 -0.02 0.02 0.03
20 15.09 8.55 -99.39 -0.24 -0.43 10.63 -0.03 0.03 0.03
21 15.09 8.55 -99.39 -0.24 -0.43 10.67 -0.03 0.03 0.03
22 15.09 8.55 -99.39 -0.24 -0.39 10.67 -0.02 0.03 0.03
23 15.09 8.55 -99.39 -0.31 -0.47 10.71 -0.02 0.02 0.03
24 15.09 8.55 -99.39 -0.16 -0.43 10.71 -0.02 0.03 0.02
25 15.09 8.55 -99.39 -0.24 -0.51 10.71 -0.03 0.03 0.03
26 15.09 8.55 -99.39 -0.27 -0.43 10.67 -0.03 0.03 0.03
27 15.45 8.55 -99.49 -0.24 -0.43 10.75 -0.02 0.03 0.03
28 15.45 8.55 -99.49 -0.31 -0.47 10.59 -0.02 0.02 0.03
29 15.45 8.55 -99.49 -0.27 -0.47 10.67 -0.02 0.02 0.02
30 15.45 8.55 -99.49 -0.27 -0.47 10.51 -0.02 0.03 0.03
31 15.45 8.55 -99.49 -0.27 -0.47 10.55 -0.03 0.04 0.03
32 15.45 8.55 -99.49 -0.31 -0.39 10.71 -0.02 0.03 0.03
33 15.45 8.55 -99.49 -0.24 -0.43 10.75 -0.02 0.02 0.03
34 15.36 8.64 -99.39 -0.35 -0.39 10.63 -0.02 0.02 0.03
35 15.36 8.64 -99.39 -0.20 -0.47 10.59 -0.02 0.02 0.03
36 15.36 8.64 -99.39 -0.35 -0.47 10.59 -0.02 0.03 0.03
37 15.36 8.64 -99.39 -0.16 -0.47 10.51 -0.03 0.03 0.03
38 15.36 8.64 -99.39 -0.24 -0.39 10.67 -0.03 0.03 0.04
39 15.36 8.64 -99.39 -0.27 -0.43 10.67 -0.02 0.02 0.03
40 15.36 8.64 -99.39 -0.20 -0.39 10.71 -0.02 0.02 0.03
41 15.55 8.64 -99.49 -0.24 -0.43 10.59 -0.02 0.03 0.03
42 15.55 8.64 -99.49 -0.27 -0.47 10.59 -0.03 0.04 0.03
43 15.55 8.64 -99.49 -0.24 -0.47 10.75 -0.03 0.04 0.03
44 15.55 8.64 -99.49 -0.24 -0.43 10.63 -0.03 0.03 0.03
45 15.55 8.64 -99.49 -0.24 -0.39 10.63 -0.02 0.02 0.03
46 15.55 8.64 -99.49 -0.20 -0.47 10.59 -0.02 0.02 0.03
47 15.55 8.64 -99.49 -0.24 -0.43 10.59 -0.03 0.03 0.03
48 15.55 8.36 -99.59 -0.24 -0.43 10.59 -0.03 0.03 0.03
49 15.55 8.36 -99.59 -0.24 -0.35 10.63 -0.02 0.03 0.03
50 15.55 8.36 -99.59 -0.27 -0.43 10.59 -0.02 0.02 0.03
51 15.55 8.36 -99.59 -0.20 -0.55 10.59 -0.02 0.02 0.04
52 15.55 8.36 -99.59 -0.27 -0.43 10.71 -0.02 0.02 0.04
53 15.55 8.36 -99.59 -0.24 -0.51 10.63 -0.03 0.03 0.04
54 15.55 8.36 -99.59 -0.31 -0.35 10.79 -0.03 0.03 0.03
55 15.55 8.45 -99.69 -0.20 -0.47 10.63 -0.02 0.02 0.02
56 15.55 8.45 -99.69 -0.31 -0.43 10.63 -0.02 0.02 0.03
57 15.55 8.45 -99.69 -0.24 -0.43 10.67 -0.02 0.03 0.03
58 15.55 8.45 -99.69 -0.24 -0.47 10.63 -0.03 0.03 0.04
59 15.55 8.45 -99.69 -0.31 -0.47 10.67 -0.03 0.03 0.03
60 15.55 8.45 -99.69 -0.27 -0.47 10.67 -0.03 0.03 0.03
61 15.55 8.45 -99.69 -0.20 -0.43 10.67 -0.02 0.02 0.03
62 15.64 8.27 -99.49 -0.27 -0.55 10.67 -0.02 0.02 0.02
63 15.64 8.27 -99.49 -0.27 -0.43 10.71 -0.02 0.03 0.04
64 15.64 8.27 -99.49 -0.27 -0.39 10.63 -0.03 0.04 0.03
65 15.64 8.27 -99.49 -0.20 -0.43 10.63 -0.03 0.03 0.03
66 15.64 8.27 -99.49 -0.20 -0.43 10.67 -0.02 0.02 0.03
67 15.64 8.27 -99.49 -0.27 -0.39 10.67 -0.02 0.02 0.03
68 15.64 8.27 -99.49 -0.24 -0.43 10.75 -0.02 0.02 0.03
69 15.45 8.09 -99.49 -0.31 -0.51 10.40 -0.02 0.03 0.02
70 15.45 8.09 -99.49 -0.20 -0.39 10.71 -0.03 0.03 0.03
71 15.45 8.09 -99.49 -0.39 -0.35 10.87 -0.02 0.03 0.03
72 15.45 8.09 -99.49 -0.20 -0.43 10.75 -0.02 0.02 0.02
73 15.45 8.09 -99.49 -0.27 -0.43 10.55 -0.02 0.02 0.02
74 15.45 8.09 -99.49 -0.24 -0.35 10.67 -0.02 0.03 0.02
75 15.45 8.09 -99.49 -0.24 -0.47 10.59 -0.03 0.03 0.04
76 15.64 8.45 -99.39 -0.24 -0.39 10.67 -0.03 0.02 0.04
77 15.64 8.45 -99.39 -0.27 -0.47 10.59 -0.03 0.02 0.04
78 15.64 8.45 -99.39 -0.27 -0.47 10.71 -0.02 0.02 0.02
79 15.64 8.45 -99.39 -0.31 -0.43 10.59 -0.02 0.02 0.03
80 15.64 8.45 -99.39 -0.27 -0.47 10.63 -0.03 0.03 0.02
81 15.64 8.45 -99.39 -0.24 -0.39 10.67 -0.03 0.03 0.03
82 15.64 8.45 -99.39 -0.27 -0.47 10.59 -0.02 0.02 0.03
83 15.64 8.27 -99.59 -0.27 -0.43 10.63 -0.02 0.02 0.03
84 15.64 8.27 -99.59 -0.27 -0.43 10.79 -0.02 0.03 0.03
85 15.64 8.27 -99.59 -0.31 -0.43 10.75 -0.02 0.03 0.03
86 15.64 8.27 -99.59 -0.31 -0.43 10.75 -0.02 0.03 0.03
87 15.64 8.27 -99.59 -0.31 -0.43 10.63 -0.03 0.03 0.03
88 15.64 8.27 -99.59 -0.24 -0.43 10.67 -0.02 0.02 0.03
89 15.64 8.27 -99.59 -0.27 -0.43 10.71 -0.02 0.02 0.04
90 15.64 8.36 -99.69 -0.27 -0.35 10.47 -0.02 0.03 0.03
91 15.64 8.36 -99.69 -0.24 -0.43 10.47 -0.02 0.03 0.03
92 15.64 8.36 -99.69 -0.27 -0.47 10.71 -0.02 0.03 0.03
93 15.64 8.36 -99.69 -0.27 -0.47 10.75 -0.02 0.03 0.03
94 15.64 8.36 -99.69 -0.24 -0.43 10.63 -0.02 0.02 0.03
95 15.64 8.36 -99.69 -0.27 -0.51 10.63 -0.02 0.03 0.02
96 15.64 8.36 -99.69 -0.24 -0.43 10.71 -0.02 0.03 0.03
97 15.73 8.55 -99.80 -0.20 -0.51 10.59 -0.03 0.03 0.02
98 15.73 8.55 -99.80 -0.31 -0.35 10.59 -0.02 0.03 0.03
99 15.73 8.55 -99.80 -0.31 -0.43 10.63 -0.02 0.02 0.03
100 15.73 8.55 -99.80 -0.27 -0.47 10.67 -0.02 0.02 0.03
101 15.73 8.55 -99.80 -0.24 -0.39 10.63 -0.02 0.03 0.03
102 15.73 8.55 -99.80 -0.20 -0.55 10.67 -0.02 0.03 0.03
103 15.73 8.55 -99.80 -0.20 -0.55 10.51 -0.02 0.03 0.02
104 15.73 8.55 -99.80 -0.39 -0.47 10.63 -0.02 0.03 0.03
105 15.73 8.55 -99.80 -0.24 -0.43 10.67 -0.02 0.02 0.03
106 15.73 8.55 -99.80 -0.31 -0.43 10.67 -0.02 0.03 0.02
107 15.73 8.55 -99.80 -0.27 -0.43 10.51 -0.02 0.03 0.03
108 15.73 8.55 -99.80 -0.24 -0.39 10.71 -0.03 0.03 0.03
109 15.73 8.55 -99.80 -0.27 -0.47 10.47 -0.02 0.03 0.03
110 15.45 8.45 -99.39 -0.31 -0.39 10.71 -0.02 0.02 0.03
111 15.45 8.45 -99.39 -0.27 -0.43 10.67 -0.02 0.02 0.02
112 15.45 8.45 -99.39 -0.24 -0.47 10.71 -0.02 0.03 0.02
113 15.45 8.45 -99.39 -0.24 -0.47 10.67 -0.03 0.03 0.02
114 15.45 8.45 -99.39 -0.24 -0.35 10.67 -0.02 0.03 0.02
115 15.45 8.45 -99.39 -0.27 -0.39 10.63 -0.02 0.03 0.03
116 15.45 8.45 -99.39 -0.27 -0.47 10.59 -0.02 0.02 0.02
117 15.64 8.36 -99.49 -0.24 -0.43 10.63 -0.02 0.03 0.02
118 15.64 8.36 -99.49 -0.24 -0.43 10.63 -0.02 0.03 0.02
119 15.64 8.36 -99.49 -0.27 -0.47 10.67 -0.02 0.03 0.03
120 15.64 8.36 -99.49 -0.27 -0.43 10.63 -0.02 0.02 0.03
121 15.64 8.36 -99.49 -0.20 -0.43 10.75 -0.02 0.02 0.03
122 15.64 8.36 -99.49 -0.24 -0.43 10.71 -0.02 0.02 0.03
123 15.64 8.36 -99.49 -0.20 -0.47 10.71 -0.02 0.03 0.02
124 15.36 8.36 -99.49 -0.24 -0.43 10.67 -0.03 0.03 0.02
125 15.36 8.36 -99.49 -0.24 -0.43 10.63 -0.02 0.03 0.02
126 15.36 8.36 -99.49 -0.27 -0.43 10.63 -0.02 0.02 0.02
127 15.36 8.36 -99.49 -0.24 -0.47 10.59 -0.02 0.02 0.03
128 15.36 8.36 -99.49 -0.31 -0.39 10.63 -0.02 0.03 0.03
129 15.36 8.36 -99.49 -0.31 -0.39 10.79 -0.02 0.03 0.03
130 15.36 8.36 -99.49 -0.27 -0.39 10.71 -0.02 0.03 0.02
131 15.27 8.45 -99.49 -0.27 -0.51 10.63 -0.02 0.03 0.02
132 15.27 8.45 -99.49 -0.16 -0.47 10.63 -0.02 0.02 0.03
133 15.27 8.45 -99.49 -0.27 -0.47 10.55 -0.02 0.02 0.02
134 15.27 8.45 -99.49 -0.20 -0.51 10.87 -0.02 0.03 0.02
135 15.27 8.45 -99.49 -0.24 -0.43 10.43 -0.02 0.03 0.03
