SampleNumber MagX MagY MagZ AccX AccY AccZ GyroX GyroY GyroZ
1 -18.55 -7.18 -95.71 0.67 -0.94 10.83 -3.22 -3.46 0.32
2 -18.18 -7.36 -96.33 0.67 -0.94 10.71 2.76 3.64 -0.23
3 -18.18 -7.36 -96.33 0.59 -0.82 10.71 2.75 3.64 -0.23
4 -18.18 -7.36 -96.33 0.59 -0.94 10.67 -1.34 0.38 0.93
5 -18.18 -7.36 -96.33 0.71 -0.90 10.75 -1.56 0.38 0.83
6 -18.18 -7.36 -96.33 0.59 -0.82 10.43 0.03 0.08 0.23
7 -18.18 -7.36 -96.33 0.63 -0.90 10.51 0.03 0.05 -0.31
8 -18.18 -7.36 -96.33 0.78 -0.94 10.59 -0.10 0.07 -0.04
9 -18.18 -7.36 -96.12 0.82 -1.06 10.55 0.04 0.03 0.17
10 -18.18 -7.36 -96.12 0.75 -0.98 10.55 0.04 0.02 -0.00
11 -18.18 -7.36 -96.12 0.71 -1.02 10.75 0.04 0.02 -0.00
12 -18.18 -7.36 -96.12 0.71 -1.02 10.63 -0.03 0.03 0.01
13 -18.18 -7.36 -96.12 0.63 -1.06 10.63 -0.04 0.03 0.03
14 -18.18 -7.36 -96.12 0.71 -0.90 10.67 -0.05 0.03 0.01
15 -18.18 -7.36 -96.12 0.71 -0.94 10.55 -0.05 0.03 0.02
16 -18.45 -7.18 -96.22 0.71 -0.90 10.59 -0.03 0.03 0.03
17 -18.45 -7.18 -96.22 0.75 -0.90 10.71 0.00 0.03 0.03
18 -18.45 -7.18 -96.22 0.71 -0.98 10.59 0.02 0.02 0.07
19 -18.45 -7.18 -96.22 0.63 -1.02 10.71 0.01 0.01 0.07
20 -18.45 -7.18 -96.22 0.63 -1.02 10.83 0.01 0.01 0.07
21 -18.45 -7.18 -96.22 0.71 -0.98 10.75 -0.00 0.02 0.06
22 -18.45 -7.18 -96.22 0.71 -0.98 10.71 -0.00 0.03 0.04
23 -18.27 -7.27 -95.82 0.75 -0.98 10.71 0.01 0.03 0.04
24 -18.27 -7.27 -95.82 0.67 -0.90 10.47 0.02 0.04 0.04
25 -18.27 -7.27 -95.82 0.71 -0.94 10.55 0.02 0.03 0.05
26 -18.27 -7.27 -95.82 0.71 -0.98 10.63 0.01 0.03 0.04
27 -18.27 -7.27 -95.82 0.59 -0.98 10.55 -0.00 0.03 0.05
28 -18.27 -7.27 -95.82 0.67 -0.94 10.67 -0.01 0.03 0.05
29 -18.27 -7.27 -95.82 0.59 -0.94 10.47 -0.01 0.03 0.05
30 -18.18 -7.09 -96.22 0.63 -1.02 10.67 -0.01 0.04 0.05
31 -18.18 -7.09 -96.22 0.59 -0.86 10.55 -0.02 0.04 0.05
32 -18.18 -7.09 -96.22 0.59 -0.98 10.51 -0.01 0.04 0.04
33 -18.18 -7.09 -96.22 0.59 -0.98 10.51 -0.02 0.02 0.04
34 -18.18 -7.09 -96.22 0.63 -0.86 10.51 -0.04 0.01 0.03
35 -18.18 -7.09 -96.22 0.59 -0.86 10.79 -0.05 0.01 0.02
36 -18.18 -7.36 -95.82 0.59 -0.90 10.79 -0.04 0.01 0.03
37 -18.18 -7.36 -95.82 0.63 -0.94 10.83 -0.02 0.01 0.03
38 -18.18 -7.36 -95.82 0.67 -0.90 10.75 -0.02 0.02 0.03
39 -18.18 -7.36 -95.82 0.71 -0.90 10.71 -0.02 0.02 0.03
40 -18.18 -7.36 -95.82 0.71 -0.82 10.79 -0.01 0.03 0.02
41 -18.18 -7.36 -95.82 0.71 -0.90 10.79 -0.02 0.04 0.01
42 -18.18 -7.36 -95.82 0.71 -0.90 10.67 -0.03 0.04 -0.00
43 -18.45 -7.55 -96.12 0.71 -1.02 10.59 -0.02 0.04 0.01
44 -18.45 -7.55 -96.12 0.75 -0.98 10.55 0.00 0.05 0.02
45 -18.45 -7.55 -96.12 0.75 -0.98 10.51 0.02 0.04 0.01
46 -18.45 -7.55 -96.12 0.75 -0.98 10.67 0.02 0.03 0.01
47 -18.45 -7.55 -96.12 0.78 -0.98 10.67 0.00 0.03 0.03
48 -18.45 -7.55 -96.12 0.82 -1.02 10.71 0.00 0.03 0.03
49 -18.45 -7.55 -96.12 0.75 -0.94 10.87 -0.01 0.02 0.02
50 -18.64 -7.45 -95.82 0.75 -0.90 10.71 -0.03 0.01 0.01
51 -18.64 -7.45 -95.82 0.75 -0.90 10.79 -0.03 0.01 0.02
52 -18.64 -7.45 -95.82 0.75 -0.94 10.67 -0.02 0.02 0.02
53 -18.64 -7.45 -95.82 0.67 -0.86 10.75 -0.02 0.02 0.02
54 -18.64 -7.45 -95.82 0.71 -0.98 10.47 -0.03 0.03 0.01
55 -18.64 -7.45 -95.82 0.67 -1.02 10.59 -0.02 0.03 0.01
56 -18.64 -7.45 -95.82 0.75 -0.98 10.55 -0.02 0.03 0.02
57 -18.55 -7.55 -96.02 0.63 -0.90 10.71 -0.02 0.03 0.03
58 -18.55 -7.55 -96.02 0.59 -0.94 10.63 -0.03 0.02 0.03
59 -18.55 -7.55 -96.02 0.55 -0.98 10.55 -0.02 0.02 0.04
60 -18.55 -7.55 -96.02 0.59 -0.98 10.71 -0.02 0.02 0.05
61 -18.55 -7.55 -96.02 0.71 -0.82 10.63 -0.03 0.01 0.03
62 -18.55 -7.55 -96.02 0.63 -0.90 10.71 -0.01 0.01 0.02
63 -18.55 -7.55 -96.02 0.63 -0.90 10.71 0.02 0.01 0.03
64 -18.73 -7.36 -96.02 0.63 -0.90 10.79 0.04 0.00 0.04
65 -18.73 -7.36 -96.02 0.67 -0.90 10.79 0.03 0.01 0.03
66 -18.73 -7.36 -96.02 0.71 -0.98 10.90 0.03 0.01 0.03
67 -18.73 -7.36 -96.02 0.75 -0.94 10.75 -0.01 0.01 0.03
68 -18.73 -7.36 -96.02 0.75 -0.94 10.67 -0.03 0.02 0.03
69 -18.73 -7.36 -96.02 0.71 -0.94 10.67 -0.05 0.03 0.03
70 -18.73 -7.36 -96.02 0.71 -0.94 10.67 -0.07 0.03 0.05
71 -18.73 -7.36 -96.02 0.71 -0.94 10.67 -0.09 0.03 0.03
72 -18.73 -7.36 -96.02 0.63 -0.94 10.63 -0.09 0.03 0.03
73 -18.73 -7.36 -96.02 0.63 -0.90 10.51 -0.08 0.02 0.03
74 -18.73 -7.36 -96.02 0.63 -0.86 10.71 -0.05 0.02 0.03
75 -18.73 -7.36 -96.02 0.67 -0.90 10.71 -0.02 0.02 0.03
76 -18.73 -7.36 -96.02 0.67 -0.82 10.75 -0.02 0.02 0.03
77 -18.73 -7.27 -96.02 0.59 -0.90 10.67 -0.02 0.02 0.03
78 -18.73 -7.27 -96.02 0.78 -0.90 10.79 -0.00 0.02 0.03
79 -18.73 -7.27 -96.02 0.71 -0.90 10.55 0.02 0.01 0.04
80 -18.73 -7.27 -96.02 0.71 -0.98 10.55 0.02 0.00 0.03
81 -18.73 -7.27 -96.02 0.82 -0.98 10.55 0.02 0.00 0.03
82 -18.73 -7.27 -96.02 0.78 -0.98 10.63 0.01 0.00 0.02
83 -18.73 -7.27 -96.02 0.75 -0.90 10.71 -0.03 -0.00 0.01
84 -18.82 -7.18 -96.12 0.67 -0.98 10.83 -0.05 -0.00 0.01
85 -18.82 -7.18 -96.12 0.67 -1.02 10.75 -0.05 -0.00 0.01
86 -18.82 -7.18 -96.12 0.59 -0.86 11.22 -0.06 0.01 0.00
87 -18.82 -7.18 -96.12 0.94 -0.78 10.36 -0.04 0.07 -0.00
88 -18.82 -7.18 -96.12 0.94 -0.90 10.36 -0.02 0.15 0.00
89 -18.82 -7.18 -96.12 0.78 -0.98 10.40 -0.04 0.12 0.00
90 -18.82 -7.18 -96.12 0.27 -1.06 11.65 -0.01 0.06 0.02
91 -18.45 -7.36 -96.22 0.71 -1.06 10.83 -0.06 0.07 0.04
92 -18.45 -7.36 -96.22 0.67 -0.90 10.51 -0.11 0.07 0.02
93 -18.45 -7.36 -96.22 0.51 -0.82 10.83 -0.07 0.10 0.02
94 -18.45 -7.36 -96.22 0.51 -1.14 10.43 0.01 0.12 0.05
95 -18.45 -7.36 -96.22 0.63 -1.14 10.43 0.01 0.12 0.05
96 -18.45 -7.36 -96.22 0.67 -1.10 10.47 -0.03 0.11 0.04
97 -18.45 -7.36 -96.22 0.55 -0.82 10.90 -0.12 0.10 0.01
98 -18.09 -7.18 -96.22 0.75 -1.14 10.75 -0.19 0.12 0.03
99 -18.09 -7.18 -96.22 0.55 -0.98 10.90 -0.21 0.14 0.03
100 -18.09 -7.18 -96.22 0.55 -0.94 10.94 -0.20 0.14 0.02
101 -18.09 -7.18 -96.22 0.55 -1.02 11.14 -0.16 0.14 0.05
102 -18.09 -7.18 -96.22 0.59 -1.02 10.75 -0.11 0.16 0.07
103 -18.09 -7.18 -96.22 0.55 -1.10 10.55 -0.13 0.14 0.07
104 -18.09 -6.73 -96.43 0.55 -0.98 10.63 -0.20 0.14 0.07
105 -17.91 -6.73 -96.43 0.51 -0.98 10.63 -0.20 0.14 0.07
106 -17.91 -6.73 -96.43 0.43 -1.18 10.40 -0.22 0.13 0.12
107 -17.91 -6.73 -96.43 0.51 -1.26 10.67 -0.25 0.14 0.17
108 -17.91 -6.73 -96.43 0.47 -1.02 10.59 -0.27 0.15 0.13
109 -17.91 -6.73 -96.43 0.63 -1.14 10.40 -0.23 0.11 0.13
110 -17.91 -6.73 -96.43 0.51 -1.18 10.32 -0.19 0.07 0.14
111 -17.82 -6.09 -96.73 0.55 -1.29 10.36 -0.18 0.09 0.13
112 -17.82 -6.09 -96.73 0.55 -1.33 10.55 -0.17 0.11 0.11
113 -17.82 -6.09 -96.73 0.39 -1.26 10.67 -0.16 0.11 0.10
114 -17.82 -6.09 -96.73 0.43 -1.37 10.67 -0.12 0.09 0.11
115 -17.82 -6.09 -96.73 0.43 -1.37 10.51 -0.07 0.06 0.09
116 -17.82 -6.09 -96.73 0.43 -1.41 10.59 -0.07 0.06 0.10
117 -17.82 -6.09 -96.73 0.51 -1.49 10.67 -0.04 0.06 0.10
118 -17.91 -5.91 -96.84 0.43 -1.49 10.67 -0.03 0.08 0.10
119 -17.91 -5.91 -96.84 0.51 -1.33 10.83 -0.01 0.08 0.08
120 -17.91 -5.91 -96.84 0.39 -1.41 10.83 -0.01 0.07 0.09
121 -17.91 -5.91 -96.84 0.35 -1.33 10.87 -0.00 0.05 0.09
122 -17.91 -5.91 -96.84 0.39 -1.29 10.90 -0.02 0.05 0.09
123 -17.91 -5.91 -96.84 0.43 -1.29 10.90 -0.01 0.06 0.08
124 -17.91 -5.91 -96.84 0.47 -1.33 10.63 0.03 0.07 0.07
125 -17.73 -5.82 -96.73 0.51 -1.37 10.51 0.03 0.07 0.06
126 -17.73 -5.82 -96.73 0.51 -0.86 10.36 -0.01 0.04 0.03
127 -17.73 -5.82 -96.73 0.82 -1.18 10.28 -0.01 -0.08 -0.04
128 -17.73 -5.82 -96.73 0.63 -1.33 10.55 -0.01 -0.10 -0.04
129 -17.73 -5.82 -96.73 0.51 -1.14 10.59 -0.05 -0.10 0.02
130 -17.73 -5.82 -96.73 0.67 -1.45 10.59 -0.14 -0.08 0.01
131 -17.82 -5.82 -96.94 0.55 -1.65 10.75 -0.18 -0.11 0.02
132 -17.82 -5.82 -96.94 0.47 -1.53 10.63 -0.19 -0.13 0.05
133 -17.82 -5.82 -96.94 0.51 -1.41 10.71 -0.20 -0.15 0.07
134 -17.82 -5.82 -96.94 0.43 -1.41 10.90 -0.19 -0.13 0.10
135 -17.82 -5.82 -96.94 0.47 -1.57 10.94 -0.16 -0.01 0.14
136 -17.82 -5.82 -96.94 0.55 -1.49 10.71 -0.12 0.09 0.24
137 -17.82 -5.82 -96.94 0.55 -1.69 10.51 -0.10 0.10 0.31
138 -18.00 -5.27 -96.43 0.39 -1.80 10.36 -0.12 0.08 0.41
139 -18.00 -5.27 -96.43 0.47 -1.61 10.40 -0.22 0.02 0.46
140 -18.00 -5.27 -96.43 0.27 -1.53 10.83 -0.26 0.05 0.49
141 -18.00 -5.27 -96.43 0.27 -1.02 10.87 -0.25 0.05 0.49
142 -18.00 -5.27 -96.43 0.31 -1.02 10.40 -0.13 0.06 0.42
143 -18.00 -5.27 -96.43 0.31 -0.94 10.40 -0.02 0.03 0.33
144 -18.45 -5.00 -96.53 0.43 -1.22 10.59 0.07 0.03 0.29
145 -18.45 -5.00 -96.53 0.35 -1.37 10.43 0.20 0.06 0.29
146 -18.45 -5.00 -96.53 0.39 -1.45 10.79 0.25 0.10 0.25
147 -18.45 -5.00 -96.53 0.43 -1.80 10.83 0.24 0.13 0.26
148 -18.45 -5.00 -96.53 0.47 -1.92 10.63 0.17 0.12 0.26
149 -18.45 -5.00 -96.53 0.39 -1.73 10.63 0.03 0.10 0.23
150 -18.45 -5.00 -96.53 0.47 -1.69 10.63 -0.10 0.11 0.22
